Time(s),Theta(rad),theta_dot(rad/s),Phi(rad),phi_dot(rad/s),setpoint(Nm)
0.178,0.797,-0.000,-3.409,-0.000,0.000
0.188,0.796,0.000,-3.409,-0.000,0.000
0.197,0.796,-0.001,-3.409,-0.000,0.000
0.208,0.796,-0.001,-3.409,-0.000,0.000
0.217,0.796,-0.001,-3.409,-0.000,0.000
0.228,0.796,-0.000,-3.409,-0.000,0.000
0.237,0.797,-0.001,-3.409,-0.000,0.000
0.248,0.797,-0.002,-3.409,-0.000,0.000
0.257,0.797,-0.000,-3.409,-0.000,0.000
0.268,0.797,-0.001,-3.409,-0.000,0.000
0.277,0.796,-0.000,-3.409,-0.000,0.000
0.288,0.796,0.000,-3.409,-0.000,0.000
0.297,0.796,0.001,-3.409,-0.000,0.000
0.308,0.796,-0.000,-3.409,-0.000,0.000
0.317,0.796,-0.000,-3.409,-0.000,0.000
0.328,0.796,0.000,-3.409,-0.000,0.000
0.337,0.796,-0.001,-3.409,-0.000,0.000
0.348,0.796,0.000,-3.409,-0.000,0.000
0.357,0.796,-0.001,-3.409,-0.000,0.000
0.368,0.796,0.000,-3.409,-0.000,0.000
0.377,0.796,0.000,-3.409,-0.000,0.000
0.388,0.796,0.001,-3.409,-0.000,0.000
0.397,0.796,0.001,-3.409,-0.000,0.000
0.408,0.796,0.002,-3.409,-0.000,0.000
0.417,0.796,-0.001,-3.409,-0.000,0.000
0.428,0.795,0.000,-3.409,-0.000,0.000
0.437,0.796,-0.000,-3.409,-0.000,0.000
0.448,0.796,-0.000,-3.409,-0.000,0.000
0.457,0.796,0.000,-3.409,-0.000,0.000
0.468,0.796,0.001,-3.409,-0.000,0.000
0.477,0.797,0.001,-3.409,-0.000,0.000
0.488,0.797,0.001,-3.409,-0.000,0.000
0.497,0.797,-0.001,-3.409,-0.000,0.000
0.508,0.796,-0.001,-3.409,-0.000,0.000
0.517,0.796,-0.001,-3.409,-0.000,0.000
0.528,0.796,0.000,-3.409,-0.000,0.000
0.537,0.796,0.000,-3.409,-0.000,0.000
0.548,0.796,-0.002,-3.409,-0.000,0.000
0.557,0.796,-0.000,-3.409,-0.000,0.000
0.568,0.796,-0.000,-3.409,-0.000,0.000
0.577,0.796,-0.001,-3.409,-0.000,0.000
0.588,0.796,-0.001,-3.409,-0.000,0.000
0.597,0.795,0.000,-3.409,-0.000,0.000
0.608,0.795,-0.001,-3.409,-0.000,0.000
0.617,0.796,0.001,-3.409,-0.000,0.000
0.628,0.795,0.000,-3.409,-0.000,0.000
0.637,0.795,-0.001,-3.409,-0.000,0.000
0.648,0.795,0.001,-3.409,-0.000,0.000
0.657,0.796,0.000,-3.409,-0.000,0.000
0.668,0.796,-0.002,-3.409,-0.000,0.000
0.677,0.796,0.001,-3.409,-0.000,0.000
0.688,0.796,-0.002,-3.409,-0.000,0.000
0.697,0.796,-0.001,-3.409,-0.000,0.000
0.721,0.797,-0.001,-3.409,-0.000,0.000
0.732,0.796,-0.001,-3.409,-0.000,0.000
0.741,0.796,-0.002,-3.409,-0.000,0.000
0.752,0.796,-0.001,-3.409,-0.000,0.000
0.761,0.796,-0.001,-3.409,-0.000,0.000
0.772,0.795,0.000,-3.409,-0.000,0.000
0.781,0.795,-0.001,-3.409,-0.000,0.000
0.792,0.795,-0.002,-3.409,-0.000,0.000
0.801,0.795,-0.000,-3.409,-0.000,0.000
0.812,0.795,-0.001,-3.409,-0.000,0.000
0.821,0.795,-0.002,-3.409,-0.000,0.000
0.832,0.795,-0.000,-3.409,-0.000,0.000
0.841,0.795,-0.000,-3.409,-0.000,0.000
0.852,0.795,-0.000,-3.409,-0.000,0.000
0.861,0.795,0.000,-3.409,-0.000,0.000
0.872,0.796,0.000,-3.409,-0.000,0.000
0.881,0.796,0.002,-3.409,-0.000,0.000
0.892,0.795,-0.001,-3.409,-0.000,0.000
0.901,0.796,-0.001,-3.409,-0.000,0.000
0.912,0.796,-0.001,-3.409,-0.000,0.000
0.921,0.796,-0.000,-3.409,-0.000,0.000
0.932,0.796,-0.002,-3.409,-0.000,0.000
0.941,0.797,-0.000,-3.409,-0.000,0.000
0.952,0.796,-0.000,-3.409,-0.000,0.000
0.961,0.797,-0.000,-3.409,-0.000,0.000
0.972,0.796,-0.000,-3.409,-0.000,0.000
0.981,0.796,0.000,-3.409,-0.000,0.000
0.992,0.796,-0.001,-3.409,-0.000,0.000
