Time(s),Theta(rad),theta_dot(rad/s),Phi(rad),phi_dot(rad/s),setpoint(A)
0.552,-0.785,-0.001,-3.410,-0.000,0.000
0.562,-0.786,0.000,-3.410,-0.000,0.000
0.572,-0.786,0.001,-3.410,-0.000,0.000
0.582,-0.786,0.000,-3.410,-0.000,0.000
0.592,-0.786,-0.000,-3.410,-0.000,0.000
0.602,-0.786,-0.000,-3.410,-0.000,0.000
0.612,-0.785,-0.000,-3.410,-0.000,0.000
0.622,-0.786,-0.001,-3.410,-0.000,0.000
0.632,-0.786,0.001,-3.410,-0.000,0.000
0.642,-0.786,-0.000,-3.410,-0.000,0.000
0.652,-0.785,-0.001,-3.410,-0.000,0.000
0.662,-0.785,0.000,-3.410,-0.000,0.000
0.672,-0.785,-0.000,-3.410,-0.000,0.000
0.682,-0.786,-0.001,-3.410,-0.000,0.000
0.692,-0.786,-0.000,-3.410,-0.000,0.000
0.702,-0.785,0.000,-3.410,-0.000,0.000
0.712,-0.785,0.001,-3.410,-0.000,0.000
0.722,-0.785,0.000,-3.410,-0.000,0.000
0.732,-0.786,-0.001,-3.410,-0.000,0.000
0.742,-0.785,-0.000,-3.410,-0.000,0.000
0.752,-0.786,-0.001,-3.410,-0.000,0.000
0.762,-0.786,0.000,-3.410,-0.000,0.000
0.772,-0.785,-0.000,-3.410,-0.000,0.000
0.782,-0.785,0.001,-3.410,-0.000,0.000
0.792,-0.785,-0.001,-3.410,-0.000,0.000
0.802,-0.785,0.000,-3.410,-0.000,0.000
0.812,-0.786,-0.000,-3.410,-0.000,0.000
0.822,-0.786,0.001,-3.410,-0.000,0.000
0.832,-0.785,0.001,-3.410,-0.000,0.000
0.842,-0.785,-0.004,-3.410,-0.000,0.000
0.852,-0.786,-0.005,-3.410,-0.000,0.000
0.862,-0.786,0.005,-3.410,-0.000,0.000
0.872,-0.784,-0.015,-3.410,-0.000,0.000
0.882,-0.784,-0.022,-3.410,-0.000,0.000
0.892,-0.786,-0.007,-3.410,-0.000,0.000
0.902,-0.785,-0.012,-3.410,-0.000,0.000
0.912,-0.786,-0.011,-3.410,-0.000,0.000
0.922,-0.788,0.012,-3.410,-0.000,0.000
0.932,-0.788,0.020,-3.410,-0.000,0.000
0.942,-0.788,0.021,-3.410,-0.000,0.000
0.952,-0.788,0.030,-3.410,-0.000,0.000
0.962,-0.786,0.017,-3.410,-0.000,0.000
0.972,-0.784,0.002,-3.410,-0.000,0.000
0.982,-0.784,-0.002,-3.410,-0.000,0.000
0.992,-0.785,0.004,-3.410,-0.000,0.000
1.002,-0.785,0.009,-3.410,-0.000,0.000
1.012,-0.785,0.012,-3.410,-0.000,0.000
1.022,-0.786,0.022,-3.410,-0.000,0.000
1.032,-0.787,0.032,-3.410,-0.000,0.000
1.042,-0.788,0.050,-3.410,-0.000,0.000
1.052,-0.788,0.064,-3.410,-0.000,0.000
1.062,-0.787,0.072,-3.410,-0.000,0.000
1.092,-0.787,0.121,-3.410,-0.000,0.000
1.102,-0.788,0.152,-3.410,-0.000,0.000
1.112,-0.788,0.188,-3.410,-0.000,0.000
1.122,-0.787,0.220,-3.410,-0.000,0.000
1.132,-0.786,0.256,-3.410,-0.000,0.000
